Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,180.6,0,0.003,180.6,nan,nan,nan,nan,nan,0,nan
1,0.224997,180.6,0,0.227997,180.6,0.141703,0.863262,5.35828,-0.000393447,5.35828,1,0.000252133
2,0.449994,180.6,0,0.452994,180.601,0.124852,0.8532,6.04448,-0.000331998,6.04448,1,0.000600177
3,0.674991,180.6,0,0.677991,180.601,0.116369,0.845631,6.4523,-0.00027633,6.4523,1,0.000978758
4,0.899988,180.6,0,0.902988,180.602,0.111232,0.840089,6.7288,-0.000231386,6.7288,1,0.00137488
5,1.12498,180.6,0,1.12799,180.604,0.107734,0.836377,6.93396,-0.000196125,6.93396,1,0.00178065
6,1.34998,180.6,0,1.35298,180.605,0.10496,0.833724,7.10516,-0.000165881,7.10516,1,0.00218999
7,1.57498,180.6,0,1.57798,180.607,0.102759,0.832029,7.24952,-0.000139951,7.24952,1,0.00260268
8,1.79998,180.6,0,1.80298,180.609,0.101073,0.831457,7.36778,-0.000117807,7.36778,1,0.00302499
9,2.02497,180.6,0,2.02797,180.611,0.0997028,0.831632,7.47024,-9.83566e-05,7.47024,1,0.00345348
10,2.24997,180.6,0,2.25297,180.614,0.0983681,0.831793,7.57035,-7.83639e-05,7.57035,1,0.00388133
11,2.47497,180.6,0,2.47797,180.617,0.0975569,0.833327,7.64165,-6.21798e-05,7.64165,1,0.00430731
12,2.69996,180.6,0,2.70296,180.62,0.0967457,0.834861,7.71295,-4.59957e-05,7.71295,1,0.00473329
13,2.92496,180.6,0,2.92796,180.624,0.0959293,0.836294,7.78425,-2.91251e-05,7.78426,1,0.00515818
14,3.14996,180.6,0,3.15296,180.628,0.0953638,0.838435,7.84034,-1.20675e-05,7.84034,1,0.00563346
15,3.37495,180.6,0,3.37795,180.632,0.0949279,0.840947,7.88859,5.05255e-06,7.8886,1,0.00613475
16,3.59995,180.6,0,3.60295,180.636,0.0944919,0.843458,7.93685,2.21726e-05,7.93685,1,0.00663605
17,3.82495,180.6,0,3.82795,180.641,0.0940537,0.845917,7.98509,3.93891e-05,7.98509,1,0.0071371
18,4.04995,180.6,0,4.05295,180.645,0.093634,0.848402,8.03198,5.66818e-05,8.03198,1,0.00763451
19,4.27494,180.6,0,4.27794,180.651,0.0934387,0.851404,8.06324,7.45047e-05,8.06324,1,0.00809049
20,4.49994,180.6,0,4.50294,180.656,0.0932433,0.854406,8.0945,9.23275e-05,8.0945,1,0.00854646
21,4.72494,180.6,0,4.72794,180.662,0.093048,0.857408,8.12576,0.00011015,8.12577,1,0.00900244
22,4.94993,180.6,0,4.95293,180.668,0.0928524,0.860401,8.15702,0.000127951,8.15702,1,0.00945767
23,5.17493,180.6,0,5.17793,180.674,0.0926557,0.86336,8.18825,0.000145655,8.18826,1,0.00990971
24,5.39993,180.6,0,5.40293,180.681,0.092459,0.866318,8.21948,0.000163359,8.21949,1,0.0103617
25,5.62493,180.6,0,5.62792,180.688,0.0924195,0.869682,8.23884,0.0001848,8.23885,1,0.0110559
26,5.84992,180.6,0,5.85292,180.695,0.0923907,0.873074,8.25739,0.000206496,8.2574,1,0.0117666
27,6.07492,180.6,0,6.07792,180.702,0.092362,0.876466,8.27594,0.000228193,8.27595,1,0.0124773
28,6.29992,180.6,0,6.30292,180.71,0.0923333,0.879858,8.29448,0.000249889,8.29449,1,0.013188
29,6.52491,180.6,0,6.52791,180.718,0.0923045,0.88325,8.31303,0.000271585,8.31304,1,0.0138987
30,6.74991,180.6,0,6.75291,180.726,0.0922755,0.886624,8.33155,0.00029347,8.33157,1,0.0146089
31,6.97491,180.6,0,6.97791,180.735,0.0922464,0.889991,8.35007,0.000315429,8.35009,1,0.0153191
32,7.1999,180.6,0,7.2029,180.744,0.0922172,0.893358,8.36859,0.000337388,8.36861,1,0.0160292
33,7.4249,180.6,0,7.4279,180.753,0.0923046,0.897529,8.37991,0.000364883,8.37993,1,0.0166104
34,7.6499,180.6,0,7.6529,180.762,0.0924424,0.902049,8.38811,0.00039478,8.38812,1,0.0171358
35,7.8749,180.6,0,7.87789,180.772,0.0925803,0.906569,8.3963,0.000424676,8.39632,1,0.0176611
36,8.09989,180.6,0,8.10289,180.782,0.0927181,0.911089,8.4045,0.000454573,8.40452,1,0.0181865
37,8.32489,180.6,0,8.32789,180.792,0.092856,0.915609,8.4127,0.00048447,8.41272,1,0.0187118
38,8.54989,180.6,0,8.55289,180.802,0.0929939,0.920129,8.4209,0.000514366,8.42092,1,0.0192372
39,8.77488,180.6,0,8.77788,180.813,0.0931317,0.924649,8.42909,0.000544263,8.42912,1,0.0197625
40,8.99988,180.6,0,9.00288,180.824,0.0932695,0.929155,8.43728,0.000574025,8.4373,1,0.0202829
41,9.22488,180.6,0,9.22788,180.836,0.0934072,0.933656,8.44545,0.00060373,8.44548,1,0.0208011
42,9.44987,180.6,0,9.45287,180.847,0.0935449,0.938158,8.45363,0.000633434,8.45366,1,0.0213194
43,9.67487,180.6,0,9.67787,180.859,0.0936826,0.942659,8.46181,0.000663139,8.46184,1,0.0218376
44,9.89987,180.6,0,9.90287,180.871,0.0940272,0.949885,8.46256,0.000690172,8.46259,1,0.0227001
45,10.1249,180.6,0,10.1279,180.884,0.0944835,0.958584,8.4593,0.000715761,8.45933,1,0.0237484
46,10.3499,180.6,0,10.3529,180.896,0.0949398,0.967283,8.45604,0.000741351,8.45608,1,0.0247968
47,10.5749,180.6,0,10.5779,180.91,0.0953961,0.975982,8.45278,0.000766941,8.45282,1,0.0258451
48,10.7999,180.6,0,10.8029,180.923,0.0958524,0.984681,8.44952,0.000792531,8.44956,1,0.0268935
49,11.0249,180.6,0,11.0279,180.936,0.0963087,0.99338,8.44626,0.000818121,8.44631,1,0.0279419
50,11.2498,180.6,0,11.2528,180.95,0.0967649,1.00208,8.443,0.000843711,8.44305,1,0.0289902
51,11.4748,180.6,0,11.4778,180.964,0.0972212,1.01078,8.43974,0.000869301,8.43979,1,0.0300386
52,11.6998,180.6,0,11.7028,180.979,0.0976775,1.01948,8.43648,0.000894891,8.43654,1,0.0310869
53,11.9248,180.6,0,11.9278,180.993,0.0981334,1.02816,8.43322,0.000920536,8.43329,1,0.0321335
54,12.1498,180.6,0,12.1528,181.008,0.0985881,1.03681,8.42998,0.000946334,8.43005,1,0.0331749
55,12.3748,180.6,0,12.3778,181.024,0.0990428,1.04547,8.42674,0.000972132,8.42681,1,0.0342163
56,12.5998,180.6,0,12.6028,181.039,0.0994976,1.05412,8.4235,0.000997929,8.42357,1,0.0352577
57,12.8248,180.6,0,12.8278,181.055,0.0999523,1.06277,8.42025,0.00102373,8.42033,1,0.0362991
58,13.0498,180.6,0,13.0528,181.071,0.100407,1.07142,8.41701,0.00104952,8.4171,1,0.0373405
59,13.2748,180.6,0,13.2778,181.087,0.101542,1.09095,8.39777,0.00110437,8.39785,1,0.0381398
60,13.4998,180.6,0,13.5028,181.104,0.102814,1.11265,8.37531,0.00116503,8.3754,1,0.0388905
61,13.7248,180.6,0,13.7278,181.121,0.104085,1.13436,8.35286,0.00122569,8.35295,1,0.0396413
62,13.9498,180.6,0,13.9528,181.138,0.105357,1.15607,8.33041,0.00128635,8.3305,1,0.0403921
63,14.1748,180.6,0,14.1778,181.156,0.106629,1.17777,8.30795,0.00134701,8.30806,1,0.0411429
64,14.3998,180.6,0,14.4028,181.173,0.1079,1.19948,8.2855,0.00140767,8.28561,1,0.0418937
65,14.6248,180.6,0,14.6278,181.191,0.109162,1.22101,8.26327,0.00146744,8.26338,1,0.0426361
66,14.8498,180.6,0,14.8528,181.21,0.110424,1.24252,8.24106,0.00152714,8.24118,1,0.0433779
67,15.0748,180.6,0,15.0778,181.228,0.111685,1.26403,8.21885,0.00158684,8.21897,1,0.0441197
68,15.2998,180.6,0,15.3028,181.247,0.1131,1.28884,8.19542,0.00164611,8.19554,1,0.0448099
69,15.5248,180.6,0,15.5278,181.266,0.114659,1.31679,8.17084,0.00170496,8.17096,1,0.045451
70,15.7498,180.6,0,15.7528,181.286,0.116219,1.34474,8.14625,0.00176381,8.14638,1,0.0460921
71,15.9748,180.6,0,15.9778,181.305,0.117763,1.37239,8.12193,0.00182192,8.12207,1,0.0467266
72,16.1998,180.6,0,16.2028,181.325,0.119267,1.3991,8.09749,0.00187503,8.09763,1,0.0473498
73,16.4248,180.6,0,16.4278,181.346,0.120696,1.42414,8.07275,0.0019189,8.0729,1,0.0479534
74,16.6498,180.6,0,16.6528,181.366,0.122126,1.44917,8.04801,0.00196276,8.04816,1,0.0485569
75,16.8748,180.6,0,16.8778,181.387,0.123556,1.47421,8.02327,0.00200663,8.02343,1,0.0491604
76,17.0998,180.6,0,17.1028,181.408,0.124984,1.49921,7.99857,0.00205046,7.99873,1,0.049763
77,17.3248,180.6,0,17.3278,181.429,0.1264,1.52398,7.97411,0.00209406,7.97427,1,0.0503592
78,17.5498,180.6,0,17.5528,181.451,0.127816,1.54875,7.94966,0.00213767,7.94982,1,0.0509554
79,17.7748,180.6,0,17.7778,181.473,0.129081,1.57015,7.92622,0.0021726,7.92638,1,0.0513879
80,17.9998,180.6,0,18.0028,181.495,0.130274,1.58997,7.90326,0.00220344,7.90343,1,0.051743
81,18.2248,180.6,0,18.2278,181.518,0.131468,1.60979,7.8803,0.00223428,7.88047,1,0.0520981
82,18.4498,180.6,0,18.4528,181.54,0.132661,1.62961,7.85734,0.00226511,7.85752,1,0.0524533
83,18.6748,180.6,0,18.6778,181.563,0.13385,1.64936,7.8345,0.00229596,7.83467,1,0.0528067
84,18.8997,180.6,0,18.9027,181.587,0.135034,1.66904,7.81179,0.00232681,7.81197,1,0.0531581
85,19.1247,180.6,0,19.1277,181.61,0.136215,1.68864,7.7891,0.00235758,7.78928,1,0.0535079
86,19.3497,180.6,0,19.3527,181.634,0.137135,1.70207,7.76799,0.00238212,7.76818,1,0.0537207
87,19.5747,180.6,0,19.5777,181.658,0.138056,1.7155,7.74688,0.00240665,7.74707,1,0.0539335
88,19.7997,180.6,0,19.8027,181.682,0.138976,1.72893,7.72577,0.00243119,7.72596,1,0.0541463
89,20.0247,180.6,0,20.0277,181.707,0.139897,1.74236,7.70467,0.00245572,7.70486,1,0.0543592
90,20.2497,180.6,0,20.2527,181.732,0.140813,1.75576,7.68375,0.00248018,7.68394,1,0.0545702
91,20.4747,180.6,0,20.4777,181.757,0.141727,1.76917,7.66288,0.00250462,7.66308,1,0.0547807
92,20.6997,180.6,0,20.7027,181.783,0.142557,1.78054,7.64258,0.00252833,7.64278,1,0.0549205
93,20.9247,180.6,0,20.9277,181.809,0.143225,1.78806,7.62337,0.00255065,7.62357,1,0.0549267
94,21.1497,180.6,0,21.1527,181.835,0.143893,1.79558,7.60415,0.00257297,7.60435,1,0.0549328
95,21.3747,180.6,0,21.3777,181.861,0.144561,1.8031,7.58494,0.00259529,7.58513,1,0.0549389
96,21.5997,180.6,0,21.6027,181.887,0.145229,1.81064,7.56575,0.00261761,7.56595,1,0.0549451
97,21.8247,180.6,0,21.8277,181.914,0.145895,1.81825,7.54677,0.00263991,7.54697,1,0.0549521
98,22.0497,180.6,0,22.0527,181.941,0.146561,1.82585,7.52779,0.00266221,7.52799,1,0.0549591
99,22.2747,180.6,0,22.2777,181.969,0.147081,1.83018,7.5101,0.00268499,7.5103,1,0.0548319
100,22.4997,180.6,0,22.5027,181.997,0.147532,1.83294,7.49301,0.00270801,7.49321,1,0.0546413
101,22.7247,180.6,0,22.7277,182.024,0.147984,1.83571,7.47593,0.00273102,7.47613,1,0.0544507
102,22.9497,180.6,0,22.9527,182.053,0.148435,1.83848,7.45885,0.00275404,7.45904,1,0.05426
103,23.1747,180.6,0,23.1777,182.081,0.148887,1.84131,7.44187,0.00277701,7.44206,1,0.0540709
104,23.3997,180.6,0,23.4027,182.11,0.149338,1.84422,7.42501,0.00279993,7.42521,1,0.0538836
105,23.6247,180.6,0,23.6277,182.139,0.149787,1.84709,7.40819,0.00282285,7.40838,1,0.0536941
106,23.8497,180.6,0,23.8527,182.168,0.150062,1.8465,7.39362,0.00284626,7.39382,1,0.0533151
107,24.0747,180.6,0,24.0777,182.198,0.150337,1.84591,7.37906,0.00286966,7.37925,1,0.0529362
108,24.2997,180.6,0,24.3027,182.228,0.150611,1.84532,7.3645,0.00289306,7.36469,1,0.0525573
109,24.5247,180.6,0,24.5277,182.258,0.150886,1.84473,7.34994,0.00291646,7.35012,1,0.0521784
110,24.7497,180.6,0,24.7527,182.288,0.151162,1.8443,7.33555,0.00293975,7.33573,1,0.0518042
111,24.9747,180.6,0,24.9777,182.319,0.15144,1.84391,7.3212,0.002963,7.32138,1,0.0514313
112,25.1997,180.6,0,25.2027,182.35,0.151673,1.8429,7.30781,0.0029869,7.30799,1,0.0509998
113,25.4247,180.6,0,25.4277,182.381,0.151825,1.8407,7.29622,0.00301202,7.29639,1,0.050457
114,25.6497,180.6,0,25.6527,182.413,0.151977,1.83851,7.28463,0.00303714,7.2848,1,0.0499142
115,25.8747,180.6,0,25.8777,182.445,0.152129,1.83631,7.27304,0.00306227,7.27321,1,0.0493715
116,26.0997,180.6,0,26.1027,182.477,0.152282,1.83414,7.26147,0.00308737,7.26164,1,0.0488297
117,26.3246,180.6,0,26.3276,182.509,0.152438,1.83218,7.25008,0.00311234,7.25024,1,0.0482951
118,26.5496,180.6,0,26.5526,182.542,0.152595,1.83022,7.23869,0.00313731,7.23884,1,0.0477605
119,26.7746,180.6,0,26.7776,182.574,0.152707,1.82826,7.22946,0.00316278,7.22961,1,0.047118
120,26.9996,180.6,0,27.0026,182.608,0.152799,1.82629,7.22125,0.0031885,7.2214,1,0.0464244
121,27.2246,180.6,0,27.2276,182.641,0.152891,1.82432,7.21305,0.00321422,7.21319,1,0.0457307
122,27.4496,180.6,0,27.4526,182.675,0.152983,1.82235,7.20484,0.00323994,7.20498,1,0.0450371
123,27.6746,180.6,0,27.6776,182.709,0.153078,1.82049,7.19671,0.00326559,7.19685,1,0.0443481
124,27.8996,180.6,0,27.9026,182.743,0.153176,1.81878,7.18867,0.00329118,7.18881,1,0.0436646
125,28.1246,180.6,0,28.1276,182.777,0.153274,1.81709,7.18068,0.00331676,7.18081,1,0.0429796
126,28.3496,180.6,0,28.3526,182.812,0.15337,1.81705,7.17615,0.00334264,7.17627,1,0.0421681
127,28.5746,180.6,0,28.5776,182.847,0.153466,1.81701,7.17162,0.00336851,7.17174,1,0.0413566
128,28.7996,180.6,0,28.8026,182.882,0.153562,1.81698,7.1671,0.00339438,7.16721,1,0.0405451
129,29.0246,180.6,0,29.0276,182.918,0.153657,1.81694,7.16257,0.00342025,7.16268,1,0.0397336
