Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,451.5,-255.425,35,519.922,nan,nan,nan,nan,nan,0,nan
1,0.510849,451.5,-254.914,35,519.672,0.0886901,0.595216,7.10259,-1.55172e-05,7.10259,1,-0.00234901
2,1.0217,451.5,-254.403,35,519.421,0.0886901,0.595216,7.10259,-2.41689e-05,7.10259,1,-0.00234891
3,1.53255,451.5,-253.892,35,519.171,0.08869,0.595215,7.10259,-3.28508e-05,7.10259,1,-0.00234849
4,2.0434,451.5,-253.382,35,518.921,0.08869,0.595215,7.10259,-4.15324e-05,7.10259,1,-0.00234793
5,2.55424,451.5,-252.871,35,518.672,0.08869,0.595214,7.10259,-5.02141e-05,7.10259,1,-0.00234737
6,3.06509,451.5,-252.36,35,518.423,0.0886899,0.595214,7.10259,-5.87111e-05,7.10259,1,-0.00234653
7,3.57594,451.5,-251.849,35,518.175,0.0886899,0.595213,7.10259,-6.71354e-05,7.10259,1,-0.00234561
8,4.08681,451.5,-251.338,35,517.927,0.0886898,0.595212,7.10259,-7.556e-05,7.10259,1,-0.00234469
9,4.59766,451.5,-250.827,35,517.679,0.0886897,0.595211,7.10259,-8.41461e-05,7.10259,1,-0.00234346
10,5.10851,451.5,-250.316,35,517.432,0.0886897,0.59521,7.10259,-9.27522e-05,7.10259,1,-0.00234217
11,5.61935,451.5,-249.806,35,517.185,0.0886896,0.595209,7.10258,-0.000101358,7.10258,1,-0.00234087
12,6.1302,451.5,-249.295,35,516.938,0.0886895,0.595208,7.10258,-0.000109922,7.10258,1,-0.00233925
13,6.64105,451.5,-248.784,35,516.692,0.0886894,0.595206,7.10258,-0.000118467,7.10258,1,-0.00233759
14,7.1519,451.5,-248.273,35,516.446,0.0886893,0.595205,7.10258,-0.000127018,7.10258,1,-0.00233593
15,7.66275,451.5,-247.762,35,516.201,0.0886892,0.595203,7.10258,-0.000135598,7.10258,1,-0.0023339
16,8.1736,451.5,-247.251,35,515.956,0.0886891,0.595202,7.10258,-0.000144173,7.10258,1,-0.00233186
17,8.68445,451.5,-246.741,35,515.711,0.088689,0.5952,7.10258,-0.000152761,7.10258,1,-0.00232982
18,9.1953,451.5,-246.23,35,515.467,0.0886889,0.595198,7.10258,-0.000161329,7.10258,1,-0.0023274
19,9.70615,451.5,-245.719,35,515.223,0.0886887,0.595196,7.10258,-0.000169898,7.10258,1,-0.00232498
20,10.217,451.5,-245.208,35,514.98,0.0886886,0.595194,7.10257,-0.000178479,7.10257,1,-0.00232252
21,10.7278,451.5,-244.697,35,514.737,0.0886885,0.595192,7.10257,-0.000187056,7.10257,1,-0.00231972
22,11.2387,451.5,-244.186,35,514.494,0.0886883,0.595189,7.10257,-0.000195632,7.10257,1,-0.00231691
23,11.7496,451.5,-243.675,35,514.252,0.0886882,0.595187,7.10257,-0.000204221,7.10257,1,-0.00231404
24,12.2604,451.5,-243.165,35,514.01,0.088688,0.595184,7.10257,-0.000212799,7.10257,1,-0.00231084
25,12.7713,451.5,-242.654,35,513.768,0.0886878,0.595182,7.10256,-0.000221377,7.10257,1,-0.00230764
26,13.2821,451.5,-242.143,35,513.527,0.0886876,0.595179,7.10256,-0.000229967,7.10256,1,-0.00230435
