Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,451.5,105.35,0.003,463.628,nan,nan,nan,nan,nan,0,nan
1,0.224997,451.5,105.35,0.227997,463.628,0.141094,0.391196,3.62263,-0.00472822,3.62263,1,0.000154048
2,0.449994,451.5,105.35,0.452994,463.628,0.12393,0.384645,4.08878,-0.00502404,4.08878,1,0.000353333
3,0.674991,451.5,105.35,0.677991,463.628,0.114969,0.378305,4.36819,-0.00505276,4.3682,1,0.00056825
4,0.899988,451.5,105.35,0.902988,463.629,0.109241,0.372073,4.55974,-0.00496045,4.55975,1,0.000793323
5,1.12498,451.5,105.35,1.12799,463.629,0.105087,0.3661,4.70351,-0.00480873,4.70351,1,0.00102465
6,1.34998,451.5,105.35,1.35298,463.63,0.101647,0.360419,4.82437,-0.00463382,4.82438,1,0.00125775
7,1.57498,451.5,105.35,1.57798,463.631,0.0987668,0.354989,4.92714,-0.0044415,4.92714,1,0.00149211
8,1.79998,451.5,105.35,1.80298,463.631,0.0964203,0.35007,5.01202,-0.00424009,5.01202,1,0.00173028
9,2.02497,451.5,105.35,2.02797,463.632,0.0943966,0.345458,5.08609,-0.00403362,5.08609,1,0.00197076
10,2.24997,451.5,105.35,2.25297,463.633,0.0924226,0.340929,5.15849,-0.00382734,5.1585,1,0.00221012
11,2.47497,451.5,105.35,2.47797,463.635,0.0910496,0.337395,5.21069,-0.00362717,5.21069,1,0.00243597
12,2.69996,451.5,105.35,2.70296,463.636,0.0896766,0.333861,5.26289,-0.003427,5.26289,1,0.00266183
13,2.92496,451.5,105.35,2.92796,463.637,0.0883037,0.330327,5.31509,-0.00322683,5.31509,1,0.00288768
14,3.14996,451.5,105.35,3.15296,463.639,0.0872628,0.327599,5.35628,-0.00304166,5.35629,1,0.00312844
15,3.37495,451.5,105.35,3.37795,463.64,0.0863923,0.325282,5.39182,-0.00286466,5.39182,1,0.0033769
16,3.59995,451.5,105.35,3.60295,463.642,0.0855218,0.322964,5.42735,-0.00268766,5.42735,1,0.00362537
17,3.82495,451.5,105.35,3.82795,463.644,0.0846514,0.320647,5.46289,-0.00251066,5.46289,1,0.00387384
18,4.04995,451.5,105.35,4.05295,463.646,0.0838116,0.318426,5.49742,-0.00233612,5.49742,1,0.00411822
19,4.27494,451.5,105.35,4.27794,463.648,0.0833227,0.317284,5.52038,-0.00219326,5.52038,1,0.00431478
20,4.49994,451.5,105.35,4.50294,463.65,0.0828338,0.316142,5.54334,-0.00205041,5.54334,1,0.00451134
21,4.72494,451.5,105.35,4.72794,463.652,0.0823449,0.315,5.5663,-0.00190756,5.5663,1,0.0047079
22,4.94993,451.5,105.35,4.95293,463.654,0.081856,0.313858,5.58926,-0.0017647,5.58926,1,0.00490446
23,5.17493,451.5,105.35,5.17793,463.657,0.0813671,0.312716,5.61221,-0.00162185,5.61222,1,0.00510102
24,5.39993,451.5,105.35,5.40293,463.659,0.0808786,0.311577,5.63517,-0.00147887,5.63517,1,0.00529758
25,5.62493,451.5,105.35,5.62792,463.662,0.0806597,0.311432,5.64933,-0.00137266,5.64933,1,0.00556567
26,5.84992,451.5,105.35,5.85292,463.665,0.0804592,0.311355,5.66289,-0.00126902,5.66289,1,0.00583867
27,6.07492,451.5,105.35,6.07792,463.668,0.0802587,0.311278,5.67645,-0.00116539,5.67645,1,0.00611166
28,6.29992,451.5,105.35,6.30292,463.671,0.0800581,0.311201,5.69001,-0.00106175,5.69001,1,0.00638466
29,6.52491,451.5,105.35,6.52791,463.674,0.0798576,0.311123,5.70357,-0.000958109,5.70357,1,0.00665765
30,6.74991,451.5,105.35,6.75291,463.677,0.0796571,0.311046,5.71712,-0.00085447,5.71713,1,0.00693065
31,6.97491,451.5,105.35,6.97791,463.68,0.0794565,0.310969,5.73068,-0.000750832,5.73069,1,0.00720364
32,7.1999,451.5,105.35,7.2029,463.684,0.079256,0.310892,5.74424,-0.000647193,5.74425,1,0.00747664
33,7.4249,451.5,105.35,7.4279,463.687,0.0792149,0.311506,5.75276,-0.000567757,5.75276,1,0.00767854
34,7.6499,451.5,105.35,7.6529,463.691,0.0792422,0.312415,5.75909,-0.000498971,5.7591,1,0.00784918
35,7.8749,451.5,105.35,7.87789,463.695,0.0792695,0.313325,5.76543,-0.000430186,5.76543,1,0.00801981
36,8.09989,451.5,105.35,8.10289,463.699,0.0792969,0.314235,5.77176,-0.0003614,5.77177,1,0.00819045
37,8.32489,451.5,105.35,8.32789,463.703,0.0793242,0.315144,5.7781,-0.000292614,5.7781,1,0.00836109
38,8.54989,451.5,105.35,8.55289,463.707,0.0793515,0.316054,5.78443,-0.000223829,5.78444,1,0.00853172
