Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,0,-255.425,35,257.812,nan,nan,nan,nan,nan,0,nan
1,0.510849,0,-254.914,35,257.306,0.0966922,0.902723,8.02306,-0.000193074,8.02306,1,-0.00125549
2,1.0217,0,-254.403,35,256.8,0.0966922,0.902723,8.02306,-0.000300749,8.02306,1,-0.00125535
3,1.53255,0,-253.892,35,256.294,0.0966922,0.902723,8.02306,-0.000408495,8.02306,1,-0.00125489
4,2.0434,0,-253.382,35,255.787,0.0966922,0.902723,8.02306,-0.00051648,8.02306,1,-0.00125427
5,2.55424,0,-252.871,35,255.281,0.0966922,0.902723,8.02306,-0.000624464,8.02306,1,-0.00125366
6,3.06509,0,-252.36,35,254.775,0.0966922,0.902723,8.02306,-0.000729919,8.02306,1,-0.00125262
7,3.57594,0,-251.849,35,254.269,0.0966923,0.902723,8.02305,-0.000834775,8.02306,1,-0.00125143
8,4.08681,0,-251.338,35,253.763,0.0966923,0.902723,8.02305,-0.000939635,8.02305,1,-0.00125025
9,4.59766,0,-250.827,35,253.257,0.0966923,0.902723,8.02305,-0.00104612,8.02305,1,-0.00124866
10,5.10851,0,-250.316,35,252.752,0.0966923,0.902723,8.02305,-0.00115312,8.02305,1,-0.00124699
11,5.61935,0,-249.806,35,252.246,0.0966924,0.902723,8.02305,-0.00126011,8.02305,1,-0.00124532
12,6.1302,0,-249.295,35,251.74,0.0966924,0.902723,8.02304,-0.00136626,8.02304,1,-0.00124322
13,6.64105,0,-248.784,35,251.234,0.0966924,0.902723,8.02304,-0.00147247,8.02304,1,-0.00124107
14,7.1519,0,-248.273,35,250.728,0.0966925,0.902723,8.02304,-0.00157867,8.02304,1,-0.00123892
15,7.66275,0,-247.762,35,250.222,0.0966925,0.902723,8.02304,-0.001685,8.02304,1,-0.00123631
16,8.1736,0,-247.251,35,249.716,0.0966926,0.902723,8.02303,-0.00179149,8.02303,1,-0.00123367
17,8.68445,0,-246.741,35,249.211,0.0966926,0.902723,8.02303,-0.00189795,8.02303,1,-0.00123102
18,9.1953,0,-246.23,35,248.705,0.0966927,0.902723,8.02302,-0.00200415,8.02302,1,-0.00122791
19,9.70615,0,-245.719,35,248.199,0.0966927,0.902723,8.02302,-0.00211047,8.02302,1,-0.0012248
20,10.217,0,-245.208,35,247.693,0.0966928,0.902723,8.02302,-0.00221667,8.02302,1,-0.00122165
21,10.7278,0,-244.697,35,247.188,0.0966928,0.902723,8.02301,-0.00232296,8.02301,1,-0.00121805
22,11.2387,0,-244.186,35,246.682,0.0966929,0.902723,8.02301,-0.00242926,8.02301,1,-0.00121445
23,11.7496,0,-243.675,35,246.176,0.0966929,0.902723,8.023,-0.00253542,8.023,1,-0.00121079
24,12.2604,0,-243.165,35,245.671,0.096693,0.902724,8.023,-0.00264165,8.023,1,-0.00120671
25,12.7713,0,-242.654,35,245.165,0.0966931,0.902724,8.02299,-0.00274788,8.02299,1,-0.00120264
26,13.2821,0,-242.143,35,244.659,0.0966931,0.902724,8.02299,-0.00285395,8.02299,1,-0.00119847
27,13.793,0,-241.632,35,244.154,0.0966932,0.902724,8.02298,-0.00296011,8.02298,1,-0.00119391
28,14.3038,0,-241.121,35,243.648,0.0966933,0.902724,8.02297,-0.00306626,8.02298,1,-0.00118935
29,14.8147,0,-240.61,35,243.143,0.0966934,0.902724,8.02297,-0.00317226,8.02297,1,-0.00118467
30,15.3255,0,-240.1,35,242.637,0.0966935,0.902724,8.02296,-0.00327833,8.02296,1,-0.00117963
31,15.8363,0,-239.589,35,242.132,0.0966935,0.902724,8.02296,-0.0033844,8.02296,1,-0.00117459
32,16.3472,0,-239.078,35,241.626,0.0966936,0.902724,8.02295,-0.0034903,8.02295,1,-0.0011694
33,16.858,0,-238.567,35,241.121,0.0966937,0.902724,8.02294,-0.00359627,8.02294,1,-0.00116388
34,17.3689,0,-238.056,35,240.615,0.0966938,0.902725,8.02294,-0.00370225,8.02294,1,-0.00115836
35,17.8797,0,-237.545,35,240.11,0.0966939,0.902725,8.02293,-0.00380805,8.02293,1,-0.00115266
36,18.3906,0,-237.034,35,239.604,0.096694,0.902725,8.02292,-0.00391393,8.02292,1,-0.00114666
37,18.9014,0,-236.524,35,239.099,0.0966941,0.902725,8.02291,-0.00401981,8.02291,1,-0.00114066
38,19.4123,0,-236.013,35,238.594,0.0966942,0.902725,8.02291,-0.00412549,8.02291,1,-0.00113444
39,19.9232,0,-235.502,35,238.088,0.0966943,0.902725,8.0229,-0.00423126,8.0229,1,-0.00112796
40,20.434,0,-234.991,35,237.583,0.0966944,0.902725,8.02289,-0.00433703,8.02289,1,-0.00112147
41,20.9449,0,-234.48,35,237.078,0.0966945,0.902725,8.02288,-0.00444259,8.02288,1,-0.00111475
42,21.4557,0,-233.969,35,236.573,0.0966946,0.902726,8.02287,-0.00454824,8.02287,1,-0.00110778
43,21.9666,0,-233.458,35,236.067,0.0966947,0.902726,8.02286,-0.00465389,8.02286,1,-0.00110081
44,22.4774,0,-232.948,35,235.562,0.0966948,0.902726,8.02285,-0.00475933,8.02286,1,-0.00109357
45,22.9883,0,-232.437,35,235.057,0.096695,0.902726,8.02284,-0.00486485,8.02285,1,-0.00108612
46,23.4991,0,-231.926,35,234.552,0.0966951,0.902726,8.02284,-0.00497037,8.02284,1,-0.00107867
47,24.0099,0,-231.415,35,234.047,0.0966952,0.902726,8.02283,-0.00507567,8.02283,1,-0.00107091
48,24.5208,0,-230.904,35,233.542,0.0966953,0.902726,8.02282,-0.00518105,8.02282,1,-0.00106298
49,25.0316,0,-230.393,35,233.037,0.0966955,0.902727,8.02281,-0.00528644,8.02281,1,-0.00105504
50,25.5425,0,-229.883,35,232.532,0.0966956,0.902727,8.0228,-0.00539158,8.0228,1,-0.00104677
51,26.0533,0,-229.372,35,232.027,0.0966957,0.902727,8.02279,-0.00549683,8.02279,1,-0.00103835
52,26.5642,0,-228.861,35,231.522,0.0966959,0.902727,8.02278,-0.00560207,8.02278,1,-0.00102992
