Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,-149,-105.35,0.003,182.482,nan,nan,nan,nan,nan,0,nan
1,0.224997,-149,-105.35,0.227997,182.482,0.188105,1.26251,4.86993,-0.00020382,4.86994,1,-0.00733605
2,0.449994,-149,-105.35,0.452994,182.482,0.172427,1.37515,5.55239,-0.000177379,5.55239,1,-0.0078191
3,0.674991,-149,-105.35,0.677991,182.483,0.163101,1.42293,5.97116,-0.000163003,5.97116,1,-0.00748576
4,0.899988,-149,-105.35,0.902988,182.484,0.15664,1.44282,6.26144,-0.000155482,6.26145,1,-0.00682137
5,1.12498,-149,-105.35,1.12799,182.485,0.151892,1.45284,6.48129,-0.00015096,6.4813,1,-0.00608202
6,1.34998,-149,-105.35,1.35298,182.487,0.148069,1.46129,6.66772,-0.000146837,6.66772,1,-0.0055161
7,1.57498,-149,-105.35,1.57798,182.489,0.144928,1.46813,6.82791,-0.000142828,6.82791,1,-0.00505427
8,1.79998,-149,-105.35,1.80298,182.491,0.142321,1.47201,6.96235,-0.000140425,6.96235,1,-0.00461202
9,2.02497,-149,-105.35,2.02797,182.493,0.140092,1.47522,7.08139,-0.00013805,7.08139,1,-0.00421642
10,2.24997,-149,-105.35,2.25297,182.496,0.137965,1.4793,7.19824,-0.000135025,7.19824,1,-0.00388219
11,2.47497,-149,-105.35,2.47797,182.499,0.136362,1.48,7.28657,-0.00013435,7.28658,1,-0.0036201
12,2.69996,-149,-105.35,2.70296,182.502,0.134817,1.48191,7.37512,-0.000132559,7.37512,1,-0.00333011
13,2.92496,-149,-105.35,2.92796,182.505,0.133294,1.48426,7.46373,-0.000130363,7.46373,1,-0.00303002
14,3.14996,-149,-105.35,3.15296,182.509,0.132045,1.4853,7.53725,-0.000129311,7.53725,1,-0.00284108
15,3.37495,-149,-105.35,3.37795,182.513,0.130938,1.48568,7.60298,-0.000128849,7.60298,1,-0.0027094
16,3.59995,-149,-105.35,3.60295,182.517,0.129867,1.48681,7.66881,-0.000127485,7.66881,1,-0.00252186
17,3.82495,-149,-105.35,3.82795,182.522,0.128802,1.48807,7.73467,-0.000125975,7.73467,1,-0.00232525
18,4.04995,-149,-105.35,4.05295,182.527,0.12776,1.48925,7.79918,-0.000124559,7.79918,1,-0.00213981
19,4.27494,-149,-105.35,4.27794,182.532,0.126994,1.48945,7.84812,-0.000124239,7.84812,1,-0.00208425
20,4.49994,-149,-105.35,4.50294,182.537,0.126228,1.48965,7.89705,-0.000123919,7.89705,1,-0.00202869
21,4.72494,-149,-105.35,4.72794,182.543,0.125477,1.49017,7.94602,-0.000123116,7.94602,1,-0.00192243
22,4.94993,-149,-105.35,4.95293,182.549,0.124732,1.49085,7.99501,-0.000122072,7.99501,1,-0.00179071
23,5.17493,-149,-105.35,5.17793,182.555,0.123988,1.49152,8.044,-0.000121027,8.044,1,-0.00165899
24,5.39993,-149,-105.35,5.40293,182.562,0.123244,1.4922,8.09299,-0.000119982,8.09299,1,-0.00152727
25,5.62493,-149,-105.35,5.62792,182.569,0.122699,1.49235,8.13024,-0.000119707,8.13024,1,-0.00149444
26,5.84992,-149,-105.35,5.85292,182.576,0.122168,1.49245,8.16668,-0.000119484,8.16668,1,-0.00146837
27,6.07492,-149,-105.35,6.07792,182.583,0.121636,1.49256,8.20313,-0.000119261,8.20313,1,-0.00144231
28,6.29992,-149,-105.35,6.30292,182.591,0.121113,1.49285,8.23959,-0.000118684,8.23959,1,-0.00138039
29,6.52491,-149,-105.35,6.52791,182.599,0.120593,1.49321,8.27606,-0.000117954,8.27606,1,-0.00130306
30,6.74991,-149,-105.35,6.75291,182.607,0.120073,1.49357,8.31252,-0.000117223,8.31252,1,-0.00122573
31,6.97491,-149,-105.35,6.97791,182.615,0.119553,1.49394,8.34899,-0.000116493,8.34899,1,-0.0011484
32,7.1999,-149,-105.35,7.2029,182.624,0.119033,1.4943,8.38546,-0.000115763,8.38546,1,-0.00107108
33,7.4249,-149,-105.35,7.4279,182.633,0.118618,1.49445,8.41543,-0.000115433,8.41543,1,-0.00103876
34,7.6499,-149,-105.35,7.6529,182.642,0.118248,1.49451,8.44259,-0.000115276,8.44259,1,-0.00102597
35,7.8749,-149,-105.35,7.87789,182.652,0.117879,1.49457,8.46974,-0.000115119,8.46974,1,-0.00101318
36,8.09989,-149,-105.35,8.10289,182.662,0.117509,1.49462,8.4969,-0.000114963,8.4969,1,-0.00100039
37,8.32489,-149,-105.35,8.32789,182.672,0.117142,1.49473,8.52406,-0.000114678,8.52406,1,-0.000977429
38,8.54989,-149,-105.35,8.55289,182.682,0.116779,1.49493,8.55123,-0.000114164,8.55123,1,-0.000936163
39,8.77488,-149,-105.35,8.77788,182.693,0.116415,1.49512,8.57839,-0.00011365,8.57839,1,-0.000894896
40,8.99988,-149,-105.35,9.00288,182.704,0.116051,1.49532,8.60556,-0.000113136,8.60556,1,-0.000853629
41,9.22488,-149,-105.35,9.22788,182.715,0.115688,1.49551,8.63272,-0.000112622,8.63272,1,-0.000812362
42,9.44987,-149,-105.35,9.45287,182.727,0.115324,1.49571,8.65989,-0.000112107,8.65989,1,-0.000771095
43,9.67487,-149,-105.35,9.67787,182.738,0.114961,1.49591,8.68705,-0.000111593,8.68705,1,-0.000729829
44,9.89987,-149,-105.35,9.90287,182.75,0.114666,1.496,8.70972,-0.00011134,8.70972,1,-0.000710048
45,10.1249,-149,-105.35,10.1279,182.763,0.114409,1.49603,8.72996,-0.000111228,8.72996,1,-0.000701872
46,10.3499,-149,-105.35,10.3529,182.775,0.114152,1.49607,8.7502,-0.000111116,8.7502,1,-0.000693695
47,10.5749,-149,-105.35,10.5779,182.788,0.113895,1.4961,8.77044,-0.000111004,8.77044,1,-0.000685519
48,10.7999,-149,-105.35,10.8029,182.801,0.113637,1.49614,8.79068,-0.000110892,8.79068,1,-0.000677343
49,11.0249,-149,-105.35,11.0279,182.815,0.11338,1.49617,8.81093,-0.00011078,8.81093,1,-0.000669166
50,11.2498,-149,-105.35,11.2528,182.828,0.113126,1.49628,8.83117,-0.000110456,8.83117,1,-0.00064721
51,11.4748,-149,-105.35,11.4778,182.842,0.112872,1.4964,8.85142,-0.000110087,8.85142,1,-0.000622406
52,11.6998,-149,-105.35,11.7028,182.857,0.112618,1.49652,8.87166,-0.000109719,8.87166,1,-0.000597601
53,11.9248,-149,-105.35,11.9278,182.871,0.112364,1.49664,8.89191,-0.000109351,8.89191,1,-0.000572796
54,12.1498,-149,-105.35,12.1528,182.886,0.11211,1.49676,8.91216,-0.000108983,8.91216,1,-0.000547992
55,12.3748,-149,-105.35,12.3778,182.901,0.111856,1.49688,8.9324,-0.000108615,8.9324,1,-0.000523187
56,12.5998,-149,-105.35,12.6028,182.917,0.111603,1.497,8.95265,-0.000108246,8.95265,1,-0.000498382
57,12.8248,-149,-105.35,12.8278,182.932,0.111349,1.49712,8.9729,-0.000107878,8.9729,1,-0.000473578
58,13.0498,-149,-105.35,13.0528,182.948,0.111095,1.49724,8.99314,-0.00010751,8.99314,1,-0.000448773
59,13.2748,-149,-105.35,13.2778,182.964,0.110888,1.49727,9.01007,-0.000107373,9.01007,1,-0.000446255
60,13.4998,-149,-105.35,13.5028,182.981,0.110691,1.49728,9.02634,-0.000107282,9.02634,1,-0.000448202
61,13.7248,-149,-105.35,13.7278,182.997,0.110494,1.4973,9.04261,-0.000107191,9.04261,1,-0.000450148
62,13.9498,-149,-105.35,13.9528,183.014,0.110297,1.49732,9.05888,-0.000107065,9.05888,1,-0.00045089
63,14.1748,-149,-105.35,14.1778,183.032,0.110101,1.49736,9.07515,-0.000106764,9.07515,1,-0.000445807
64,14.3998,-149,-105.35,14.4028,183.049,0.109906,1.49741,9.09142,-0.000106464,9.09142,1,-0.000440725
65,14.6248,-149,-105.35,14.6278,183.067,0.10971,1.49746,9.1077,-0.000106164,9.1077,1,-0.000435642
66,14.8498,-149,-105.35,14.8528,183.085,0.109514,1.4975,9.12397,-0.000105864,9.12397,1,-0.00043056
67,15.0748,-149,-105.35,15.0778,183.104,0.109318,1.49755,9.14024,-0.000105563,9.14024,1,-0.000425477
68,15.2998,-149,-105.35,15.3028,183.122,0.109134,1.49757,9.15569,-0.000105376,9.15569,1,-0.000418851
69,15.5248,-149,-105.35,15.5278,183.141,0.10896,1.49758,9.17034,-0.000105296,9.17034,1,-0.000410757
