Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,361.2,105.35,0.003,376.25,0.847421,1.00074,0.963863,-0.00017177,0.963863,1,-5.92499e-07
1,0.224997,361.2,105.35,0.227997,376.25,0.145998,0.985638,5.55722,-0.000805665,5.55722,1,0.000527228
2,0.449994,361.2,105.35,0.452994,376.25,0.127984,0.968603,6.28294,-0.000773353,6.28294,1,0.00121451
3,0.674991,361.2,105.35,0.677991,376.251,0.118573,0.952156,6.71937,-0.000701669,6.71937,1,0.00196189
4,0.899988,361.2,105.35,0.902988,376.251,0.112512,0.935411,7.01965,-0.000617435,7.01965,1,0.00275045
5,1.12498,361.2,105.35,1.12799,376.252,0.108064,0.918682,7.24574,-0.000530837,7.24574,1,0.0035667
6,1.34998,361.2,105.35,1.35298,376.252,0.104347,0.902318,7.43613,-0.000445186,7.43613,1,0.00439744
7,1.57498,361.2,105.35,1.57798,376.253,0.1012,0.886283,7.59822,-0.000361431,7.59822,1,0.00523648
8,1.79998,361.2,105.35,1.80298,376.254,0.0986088,0.871342,7.73204,-0.000282425,7.73204,1,0.00608839
9,2.02497,361.2,105.35,2.02797,376.255,0.0963524,0.857059,7.84872,-0.000207047,7.84872,1,0.00694457
10,2.24997,361.2,105.35,2.25297,376.257,0.0941516,0.843022,7.96272,-0.000132096,7.96272,1,0.00780191
11,2.47497,361.2,105.35,2.47797,376.258,0.0926076,0.831795,8.04402,-6.98941e-05,8.04403,1,0.00862731
12,2.69996,361.2,105.35,2.70296,376.26,0.0910636,0.820568,8.12533,-7.69204e-06,8.12533,1,0.00945272
13,2.92496,361.2,105.35,2.92796,376.261,0.0895213,0.809361,8.20662,5.47888e-05,8.20662,1,0.0102803
14,3.14996,361.2,105.35,3.15296,376.263,0.0883764,0.800944,8.26961,0.000106019,8.26962,1,0.0111323
15,3.37495,361.2,105.35,3.37795,376.265,0.0874351,0.793954,8.32319,0.000151283,8.3232,1,0.0119956
16,3.59995,361.2,105.35,3.60295,376.267,0.0864938,0.786963,8.37677,0.000196548,8.37678,1,0.0128589
17,3.82495,361.2,105.35,3.82795,376.269,0.0855531,0.77998,8.43034,0.000241857,8.43035,1,0.013723
18,4.04995,361.2,105.35,4.05295,376.272,0.0846565,0.773429,8.48218,0.000285901,8.48219,1,0.0145795
19,4.27494,361.2,105.35,4.27794,376.274,0.0842355,0.771409,8.51418,0.000312157,8.5142,1,0.0153002
20,4.49994,361.2,105.35,4.50294,376.277,0.0838146,0.769389,8.54619,0.000338413,8.5462,1,0.016021
21,4.72494,361.2,105.35,4.72794,376.28,0.0833936,0.767368,8.57819,0.000364669,8.57821,1,0.0167418
22,4.94993,361.2,105.35,4.95293,376.283,0.0829727,0.765348,8.6102,0.000390925,8.61021,1,0.0174626
23,5.17493,361.2,105.35,5.17793,376.286,0.0825526,0.763341,8.64219,0.000417211,8.64221,1,0.0181841
24,5.39993,361.2,105.35,5.40293,376.289,0.0821339,0.761356,8.67416,0.000443547,8.67418,1,0.018907
25,5.62493,361.2,105.35,5.62792,376.292,0.0821476,0.76452,8.69045,0.000452607,8.69048,1,0.0198392
26,5.84992,361.2,105.35,5.85292,376.296,0.082191,0.768037,8.70567,0.000460484,8.7057,1,0.0207857
27,6.07492,361.2,105.35,6.07792,376.299,0.0822343,0.771554,8.72089,0.000468361,8.72092,1,0.0217323
28,6.29992,361.2,105.35,6.30292,376.303,0.0822776,0.775072,8.73611,0.000476238,8.73614,1,0.0226788
29,6.52491,361.2,105.35,6.52791,376.307,0.0823209,0.778589,8.75133,0.000484114,8.75137,1,0.0236253
30,6.74991,361.2,105.35,6.75291,376.311,0.0823642,0.782106,8.76655,0.000491991,8.76659,1,0.0245718
31,6.97491,361.2,105.35,6.97791,376.315,0.0824078,0.785629,8.78176,0.000499845,8.7818,1,0.0255224
32,7.1999,361.2,105.35,7.2029,376.319,0.0824514,0.789157,8.79696,0.000507684,8.797,1,0.0264756
33,7.4249,361.2,105.35,7.4279,376.323,0.0828383,0.797802,8.80235,0.000501847,8.80239,1,0.0271982
34,7.6499,361.2,105.35,7.6529,376.328,0.0833741,0.808667,8.80347,0.000490079,8.80352,1,0.0278208
35,7.8749,361.2,105.35,7.87789,376.332,0.0839099,0.819532,8.8046,0.000478311,8.80464,1,0.0284434
36,8.09989,361.2,105.35,8.10289,376.337,0.0844457,0.830397,8.80572,0.000466543,8.80577,1,0.029066
37,8.32489,361.2,105.35,8.32789,376.342,0.0849815,0.841262,8.80684,0.000454775,8.8069,1,0.0296887
38,8.54989,361.2,105.35,8.55289,376.347,0.0855172,0.852127,8.80797,0.000443007,8.80802,1,0.0303113
39,8.77488,361.2,105.35,8.77788,376.352,0.086053,0.862992,8.80909,0.000431239,8.80915,1,0.0309339
40,8.99988,361.2,105.35,9.00288,376.358,0.0865888,0.873858,8.81022,0.000419471,8.81027,1,0.0315565
41,9.22488,361.2,105.35,9.22788,376.363,0.0871246,0.884726,8.81134,0.000407656,8.8114,1,0.0321799
42,9.44987,361.2,105.35,9.45287,376.369,0.0876604,0.895605,8.81243,0.000395682,8.8125,1,0.032806
