Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,361.2,-255.425,35,443.771,nan,nan,nan,nan,nan,0,nan
1,0.510849,361.2,-254.914,35,443.477,0.0898618,0.796136,8.10723,-7.43886e-06,8.10724,1,-0.00211571
2,1.0217,361.2,-254.403,35,443.183,0.0898618,0.796135,8.10724,-1.16372e-05,8.10724,1,-0.0021156
3,1.53255,361.2,-253.892,35,442.89,0.0898617,0.796135,8.10724,-1.58773e-05,8.10724,1,-0.0021151
4,2.0434,361.2,-253.382,35,442.598,0.0898617,0.796134,8.10724,-1.99942e-05,8.10724,1,-0.00211443
5,2.55424,361.2,-252.871,35,442.305,0.0898616,0.796133,8.10724,-2.43056e-05,8.10724,1,-0.00211376
6,3.06509,361.2,-252.36,35,442.014,0.0898615,0.796132,8.10724,-2.83878e-05,8.10724,1,-0.00211277
7,3.57594,361.2,-251.849,35,441.722,0.0898614,0.79613,8.10724,-3.23249e-05,8.10724,1,-0.00211169
8,4.08681,361.2,-251.338,35,441.431,0.0898613,0.796129,8.10724,-3.64766e-05,8.10724,1,-0.0021106
9,4.59766,361.2,-250.827,35,441.14,0.0898612,0.796127,8.10725,-4.05193e-05,8.10725,1,-0.00210916
10,5.10851,361.2,-250.316,35,440.85,0.0898611,0.796125,8.10725,-4.44968e-05,8.10725,1,-0.00210764
11,5.61935,361.2,-249.806,35,440.56,0.0898609,0.796123,8.10725,-4.872e-05,8.10725,1,-0.00210612
12,6.1302,361.2,-249.295,35,440.271,0.0898607,0.796121,8.10725,-5.26541e-05,8.10726,1,-0.00210422
13,6.64105,361.2,-248.784,35,439.982,0.0898606,0.796118,8.10726,-5.65307e-05,8.10726,1,-0.00210227
14,7.1519,361.2,-248.273,35,439.693,0.0898604,0.796116,8.10726,-6.06765e-05,8.10726,1,-0.00210032
15,7.66275,361.2,-247.762,35,439.405,0.0898602,0.796113,8.10727,-6.44978e-05,8.10727,1,-0.00209795
16,8.1736,361.2,-247.251,35,439.117,0.08986,0.79611,8.10727,-6.82965e-05,8.10727,1,-0.00209556
17,8.68445,361.2,-246.741,35,438.83,0.0898597,0.796107,8.10727,-7.23806e-05,8.10727,1,-0.00209315
18,9.1953,361.2,-246.23,35,438.542,0.0898595,0.796103,8.10728,-7.6068e-05,8.10728,1,-0.00209032
19,9.70615,361.2,-245.719,35,438.256,0.0898592,0.796099,8.10728,-7.97555e-05,8.10728,1,-0.00208749
20,10.217,361.2,-245.208,35,437.97,0.089859,0.796096,8.10729,-8.37177e-05,8.10729,1,-0.00208461
21,10.7278,361.2,-244.697,35,437.684,0.0898587,0.796091,8.10729,-8.7279e-05,8.10729,1,-0.00208132
22,11.2387,361.2,-244.186,35,437.398,0.0898584,0.796087,8.1073,-9.08403e-05,8.1073,1,-0.00207803
23,11.7496,361.2,-243.675,35,437.113,0.0898581,0.796083,8.1073,-9.46632e-05,8.1073,1,-0.00207466
24,12.2604,361.2,-243.165,35,436.829,0.0898577,0.796078,8.10731,-9.808e-05,8.10731,1,-0.00207092
25,12.7713,361.2,-242.654,35,436.545,0.0898574,0.796074,8.10732,-0.000101497,8.10732,1,-0.00206717
26,13.2821,361.2,-242.143,35,436.261,0.0898571,0.796069,8.10732,-0.000105159,8.10732,1,-0.00206331
27,13.793,361.2,-241.632,35,435.978,0.0898567,0.796063,8.10733,-0.000108412,8.10733,1,-0.00205909
28,14.3038,361.2,-241.121,35,435.695,0.0898563,0.796058,8.10733,-0.000111665,8.10733,1,-0.00205487
29,14.8147,361.2,-240.61,35,435.412,0.0898559,0.796053,8.10734,-0.000115145,8.10734,1,-0.0020505
30,15.3255,361.2,-240.1,35,435.13,0.0898555,0.796047,8.10735,-0.000118215,8.10735,1,-0.0020458
31,15.8363,361.2,-239.589,35,434.848,0.0898551,0.796041,8.10736,-0.000121294,8.10736,1,-0.0020411
32,16.3472,361.2,-239.078,35,434.567,0.0898547,0.796035,8.10736,-0.000124561,8.10736,1,-0.00203622
33,16.858,361.2,-238.567,35,434.286,0.0898543,0.796028,8.10737,-0.00012743,8.10737,1,-0.00203103
34,17.3689,361.2,-238.056,35,434.006,0.0898538,0.796022,8.10738,-0.000130332,8.10738,1,-0.00202583
35,17.8797,361.2,-237.545,35,433.726,0.0898533,0.796015,8.10739,-0.000133347,8.10739,1,-0.00202042
36,18.3906,361.2,-237.034,35,433.446,0.0898529,0.796008,8.10739,-0.000135994,8.10739,1,-0.00201472
37,18.9014,361.2,-236.524,35,433.167,0.0898524,0.796001,8.1074,-0.000138699,8.1074,1,-0.00200902
38,19.4123,361.2,-236.013,35,432.888,0.0898519,0.795994,8.10741,-0.000141441,8.10741,1,-0.00200307
39,19.9232,361.2,-235.502,35,432.61,0.0898514,0.795987,8.10742,-0.00014385,8.10742,1,-0.00199686
40,20.434,361.2,-234.991,35,432.332,0.0898508,0.795979,8.10743,-0.000146338,8.10743,1,-0.00199064
41,20.9449,361.2,-234.48,35,432.055,0.0898503,0.795971,8.10744,-0.000148786,8.10744,1,-0.00198412
42,21.4557,361.2,-233.969,35,431.778,0.0898497,0.795963,8.10745,-0.000150932,8.10745,1,-0.00197738
43,21.9666,361.2,-233.458,35,431.501,0.0898492,0.795955,8.10745,-0.000153181,8.10745,1,-0.00197062
44,22.4774,361.2,-232.948,35,431.225,0.0898486,0.795946,8.10746,-0.000155313,8.10746,1,-0.00196354
45,22.9883,361.2,-232.437,35,430.949,0.089848,0.795938,8.10747,-0.000157181,8.10747,1,-0.00195624
46,23.4991,361.2,-231.926,35,430.674,0.0898474,0.795929,8.10748,-0.000159172,8.10748,1,-0.00194893
47,24.0099,361.2,-231.415,35,430.399,0.0898468,0.79592,8.10749,-0.000160964,8.10749,1,-0.00194126
48,24.5208,361.2,-230.904,35,430.125,0.0898462,0.795911,8.1075,-0.000162526,8.1075,1,-0.0019334
