Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,-149,-255.425,35,297.772,nan,nan,nan,nan,nan,0,nan
1,0.510849,-149,-254.914,35,297.334,0.0997874,0.959378,8.01445,-2.78042e-06,8.01445,1,-8.27213e-05
2,1.0217,-149,-254.403,35,296.896,0.0997874,0.959378,8.01445,-5.66623e-06,8.01445,1,-8.27122e-05
3,1.53255,-149,-253.892,35,296.458,0.0997874,0.959378,8.01445,-7.19221e-06,8.01445,1,-8.27036e-05
4,2.0434,-149,-253.382,35,296.021,0.0997874,0.959378,8.01445,-9.22066e-06,8.01445,1,-8.26849e-05
5,2.55424,-149,-252.871,35,295.584,0.0997874,0.959378,8.01445,-1.21504e-05,8.01445,1,-8.26578e-05
6,3.06509,-149,-252.36,35,295.147,0.0997874,0.959378,8.01445,-1.35323e-05,8.01445,1,-8.26408e-05
7,3.57594,-149,-251.849,35,294.71,0.0997874,0.959378,8.01445,-1.5629e-05,8.01445,1,-8.26082e-05
8,4.08681,-149,-251.338,35,294.273,0.0997874,0.959378,8.01445,-1.8489e-05,8.01445,1,-8.25636e-05
9,4.59766,-149,-250.827,35,293.837,0.0997874,0.959378,8.01445,-1.97333e-05,8.01445,1,-8.25401e-05
10,5.10851,-149,-250.316,35,293.401,0.0997874,0.959378,8.01445,-2.19739e-05,8.01445,1,-8.24929e-05
11,5.61935,-149,-249.806,35,292.966,0.0997874,0.959378,8.01445,-2.48598e-05,8.01445,1,-8.2432e-05
12,6.1302,-149,-249.295,35,292.53,0.0997874,0.959378,8.01445,-2.59793e-05,8.01445,1,-8.24035e-05
13,6.64105,-149,-248.784,35,292.095,0.0997874,0.959378,8.01445,-2.83325e-05,8.01445,1,-8.23395e-05
14,7.1519,-149,-248.273,35,291.66,0.0997874,0.959378,8.01445,-3.12016e-05,8.01445,1,-8.22615e-05
15,7.66275,-149,-247.762,35,291.225,0.0997874,0.959378,8.01445,-3.21939e-05,8.01445,1,-8.22295e-05
16,8.1736,-149,-247.251,35,290.791,0.0997874,0.959378,8.01445,-3.46711e-05,8.01445,1,-8.21474e-05
17,8.68445,-149,-246.741,35,290.357,0.0997874,0.959378,8.01445,-3.75022e-05,8.01445,1,-8.20535e-05
18,9.1953,-149,-246.23,35,289.923,0.0997874,0.959378,8.01445,-3.84032e-05,8.01445,1,-8.20183e-05
19,9.70615,-149,-245.719,35,289.489,0.0997874,0.959378,8.01445,-4.09982e-05,8.01445,1,-8.19165e-05
20,10.217,-149,-245.208,35,289.055,0.0997874,0.959378,8.01445,-4.36964e-05,8.01445,1,-8.18103e-05
21,10.7278,-149,-244.697,35,288.622,0.0997874,0.959378,8.01445,-4.45952e-05,8.01445,1,-8.17699e-05
22,11.2387,-149,-244.186,35,288.189,0.0997874,0.959378,8.01445,-4.73078e-05,8.01445,1,-8.16471e-05
23,11.7496,-149,-243.675,35,287.756,0.0997874,0.959378,8.01445,-4.98743e-05,8.01445,1,-8.15302e-05
24,12.2604,-149,-243.165,35,287.324,0.0997874,0.959378,8.01445,-5.07696e-05,8.01445,1,-8.14837e-05
25,12.7713,-149,-242.654,35,286.892,0.0997874,0.959378,8.01445,-5.35961e-05,8.01445,1,-8.1337e-05
26,13.2821,-149,-242.143,35,286.46,0.0997874,0.959378,8.01445,-5.60289e-05,8.01445,1,-8.121e-05
27,13.793,-149,-241.632,35,286.028,0.0997874,0.959378,8.01445,-5.70307e-05,8.01445,1,-8.11535e-05
28,14.3038,-149,-241.121,35,285.597,0.0997874,0.959378,8.01445,-5.98631e-05,8.01445,1,-8.09917e-05
29,14.8147,-149,-240.61,35,285.165,0.0997874,0.959378,8.01445,-6.21607e-05,8.01445,1,-8.08537e-05
30,15.3255,-149,-240.1,35,284.735,0.0997874,0.959378,8.01445,-6.32671e-05,8.01445,1,-8.07631e-05
31,15.8363,-149,-239.589,35,284.304,0.0997874,0.959378,8.01445,-6.6066e-05,8.01445,1,-8.05555e-05
32,16.3472,-149,-239.078,35,283.874,0.0997874,0.959378,8.01445,-6.82237e-05,8.01445,1,-8.04066e-05
33,16.858,-149,-238.567,35,283.443,0.0997874,0.959378,8.01445,-6.94753e-05,8.01445,1,-8.03529e-05
34,17.3689,-149,-238.056,35,283.014,0.0997874,0.959378,8.01445,-7.23065e-05,8.01445,1,-8.02088e-05
35,17.8797,-149,-237.545,35,282.584,0.0997874,0.959378,8.01445,-7.43636e-05,8.01445,1,-8.01025e-05
